"ID","Întrebare","Variantă 1","Variantă 2","Variantă 3","Variantă 4","Răspuns corect (1-4)","Categorie","Dificultate"
1,"Cine a scris „Hamlet”?","Charles Dickens","William Shakespeare","Mark Twain -modificat 25.06","Goethe",2,"Arta","medium"
2,"Cine a descoperit legea gravitației?","Albert Einstein","Galileo Galilei","Isaac Newton","Nikola Tesla",3,"Istorie","medium"
3,"Cât este π (pi) aproximativ?","3.14","2.71","1.62","3.41",1,"Matematica","easy"
4,"Cine a pictat Mona Lisa?","Vincent van Gogh","Leonardo da Vinci","Pablo Picasso","Claude Monet",2,"Arta","easy"
5,"Ce fluviu traversează Parisul?","Tamisa","Rinul","Senna","Dunărea",3,"Geografie","medium"
6,"Care este capitala Franței?","Berlin","Madrid","Paris","Roma",3,"Geografie","easy"
7,"Câte grade are un triunghi?","90","180","270","360",2,"Matematica","easy"
10,"În ce an a început al Doilea Război Mondial?","1935","1939","1941","1945",2,"Istorie","medium"
12,"Ce continent este considerat leagănul civilizației umane?","Asia","Europa","Africa","America",3,"Geografie","medium"
14,"Cine a fost primul președinte al României post-decembriste?","Nicolae Ceaușescu","Traian Băsescu","Ion Iliescu","Emil Constantinescu",3,"Istorie","medium"
18,"Care este cel mai lung fluviu din lume?","Amazon","Nil","Yangtze","Mississippi",2,"Geografie","medium"
19,"Care este cel mai mare ocean al planetei?","Oceanul Indian","Oceanul Atlantic","Oceanul Arctic","Oceanul Pacific",4,"Geografie","easy"
20,"Care este formula chimică a apei?","CO2","O2","H2O","NaCl",3,"Știință","easy"
21,"Cine a pictat „Noaptea înstelată”?","Vincent van Gogh","Claude Monet","Pablo Picasso","Salvador Dalí",1,"Artă","medium"
22,"Cine a descoperit legea gravitației?","Albert Einstein","Isaac Newton","Galileo Galilei","Nikola Tesla",2,"Știință","medium"
24,"Ce element chimic are simbolul „Fe”?","Fier","Fluor","Fosfor","Franciu",1,"Știință","medium"
25,"Care este planeta cea mai apropiată de Soare?","Venus","Marte","Mercur","Jupiter",3,"Știință","easy"
26,"În ce an a căzut Zidul Berlinului?","1987","1989","1991","1993",2,"Istorie","medium"
27,"Ce continent are cei mai mulți locuitori?","Africa","Europa","Asia","America de Sud",3,"Geografie","easy"
29,"Câte continente există pe Pământ?","5","6","7","8",3,"Geografie","easy"
30,"Cine a scris „Divina Comedie”?","Dante Alighieri","Virgil","Shakespeare","Goethe",1,"Literatură","medium"
34,"Ce țară este cunoscută pentru piramidele sale antice?","Grecia","Italia","Egipt","Mexic",3,"Istorie","easy"
35,"În ce an a avut loc Revoluția Franceză?","1776","1789","1812","1848",2,"Istorie","hard"
49,"Care este capitala Australiei?","Sydney","Melbourne","Canberra","Brisbane",3,"Geografie","medium"
54,"Cât face 12 + 15?","27","25","30","28",1,"Matematica","easy"
55,"Care este cel mai mare ocean?","Atlantic","Indian","Pacific","Arctic",3,"Geografie","easy"
56,"Care este cel mai înalt munte din lume?","Everest","K2","Mont Blanc","Kangchenjunga",1,"Geografie","easy"
57,"Cine a descoperit America?","Marco Polo","Vasco da Gama","Cristofor Columb","Amerigo Vespucci",3,"Istorie","easy"
60,"În ce stil a pictat Van Gogh?","Baroc","Impresionism","Cubism","Suprarealism",2,"Arta","medium"
61,"Când a început Primul Război Mondial?","1914","1916","1939","1945",1,"Istorie","medium"
62,"Care este rădăcina pătrată a lui 144?","11","12","13","14",2,"Matematica","easy"
64,"Când a avut loc Revoluția Franceză?","1789","1776","1804","1799",1,"Istorie","medium"
65,"Ce este un autoportret?","Tablou cu animale","Peisaj","Portret al artistului","Sculptură",3,"Arta","easy"
68,"Care este capitala Braziliei?","Rio de Janeiro","Brasília","Sao Paulo","Salvador",2,"Geografie","easy"
69,"Cât este 8 * 7?","54","56","58","60",2,"Matematica","easy"
70,"Care este valoarea lui Pi (aproximativ)?","2.14","3.14","3.41","4.13",2,"Matematica","easy"
72,"Cine a fost primul președinte al SUA?","Abraham Lincoln","George Washington","Thomas Jefferson","John Adams",2,"Istorie","easy"
78,"În ce țară s-a născut Pablo Picasso?","Franța","Italia","Spania","Olanda",3,"Arta","medium"
82,"Care este cel mai lung fluviu din lume?","Amazon","Nil","Mississippi","Yangtze",1,"Geografie","medium"
92,"Ce înseamnă un unghi drept?","90°","180°","45°","60°",1,"Matematica","easy"
94,"Ce instrument folosește un sculptor?","Pensulă","Daltă","Pix","Creion",2,"Arta","easy"
99,"Cine a pictat Mona Lisa?","Picasso","Van Gogh","Leonardo da Vinci","Rembrandt",3,"Arta","easy"
102,"Unde s-a născut Napoleon Bonaparte?","Corsica","Paris","Marsilia","Lyon",1,"Istorie","hard"
104,"Care este formula chimică a apei?","CO2","O2","H2O","NaCl",3,"Știință","easy"
105,"Cine a pictat „Noaptea înstelată”?","Vincent van Gogh","Claude Monet","Pablo Picasso","Salvador Dalí",1,"Artă","medium"
106,"Cine a descoperit legea gravitației?","Albert Einstein","Isaac Newton","Galileo Galilei","Nikola Tesla",2,"Știință","medium"
107,"Care este cel mai mare ocean al planetei?","Oceanul Indian","Oceanul Atlantic","Oceanul Arctic","Oceanul Pacific",4,"Geografie","easy"
108,"Ce element chimic are simbolul „Fe”?","Fier","Fluor","Fosfor","Franciu",1,"Știință","medium"
111,"Care este formula chimică a apei?","CO2","O2","H2O","NaCl",3,"Știință","easy"
112,"Cine a pictat „Noaptea înstelată”?","Vincent van Gogh","Claude Monet","Pablo Picasso","Salvador Dalí",1,"Artă","medium"
113,"Cine a descoperit legea gravitației?","Albert Einstein","Isaac Newton","Galileo Galilei","Nikola Tesla",2,"Știință","medium"
115,"Ce element chimic are simbolul „Fe”?","Fier","Fluor","Fosfor","Franciu",1,"Știință","medium"
